"프로젝트 코드","프로젝트 명","사업착수일(계약일)","사업기간","프로젝트 종료여부(진행:0 종료:1)","사무실주소","프로젝트 주소","위치좌표(위도)","위치좌표(경도)","자치구 구분","사업금액(억원)"
"3502024051377","2024년 중부수도사업소 관내 포장도로 굴착복구공사(장기1차- 단가계약)","202405","2024-05-13~2025-06-30","0","","서울 중구 장충단로 88","37.56677914673812","126.97861831453143","",""
"7552024061894","2024년 1,2호선 강북구간 궤도시설 보수보강공사","202406","2024-06-18~2025-06-24","0","","서울 중구 정동 5-8","37.56534539636417","126.97719821079865","중구",""
"8502024070466","의회청사 공간재배치 및 내진보강 소방공사 (장기1차)","202407","2024-07-04~2025-06-09","0","","서울특별시 중구 세종대로 125","37.56772752663001","126.97667114218854","중구",""
"8502024061277","의회청사 공간재배치 및 내진보강 전기공사 (장기1차)","202406","2024-06-12~2025-05-31","0","","서울특별시 중구 세종대로 125","37.56772752663001","126.97667114218854","중구",""
"8502024062180","의회청사 공간재배치 및 내진보강 정보통신공사 (장기1차)","202406","2024-06-21~2025-05-31","0","","서울특별시 중구 세종대로 125","37.56772752663001","126.97667114218854","중구",""
"8502024061276","의회청사 공간재배치 및 내진보강공사 (장기1차)","202406","2024-06-12~2025-05-31","0","","서울특별시 중구 세종대로 125","37.56772752663001","126.97667114218854","중구","35.7"
"1112021063096","신림공영차고지(저류조 포함) 건설 소방공사(장기1차)","202106","2021-06-30~2025-12-31","0","","서울특별시 관악구 신림동 140-2","37.56882613653158","126.978221551817","중구","9.7"
"7552024061396","2024년 4호선 궤도시설 보수보강공사","202406","2024-06-13~2025-06-19","0","","서울특별시 중구 퇴계로 지하 126","37.56096526943837","126.98640235001736","중구",""
"3502024062084","탄천변 장기사용 배수관 정비공사(장기1차)","202406","2024-06-20~2025-06-06","0","","서울특별시 서대문구 서소문로 51","37.56191102139211","126.96675132260259","서대문구",""
"1112023061599","서울 창조산업허브 조성공사(구 서울애니메이션센터 건립공사)","202306","2023-06-15~2027-03-28","0","","서울 중구 소파로 126","37.55877057698385","126.98764092037636","","483.98633581"
"1112023083199","서울애니메이션센터 건립 기계공사(장기1차)","202308","2023-08-31~2026-12-31","0","","서울 중구 소파로 126","37.55877057698385","126.98764092037636","",""
"1112023090576","서울애니메이션센터 건립 소방공사(장기1차)","202309","2023-09-05~2026-12-31","0","","서울 중구 소파로 126","37.55877057698385","126.98764092037636","",""
"1112023082299","서울애니메이션센터 건립 전기공사(장기1차)","202308","2023-08-22~2026-12-31","0","","서울 중구 소파로 126","37.55877057698385","126.98764092037636","",""
"1112023082199","서울애니메이션센터 건립 통신공사(장기1차)","202308","2023-08-21~2026-12-31","0","","서울 중구 소파로 126","37.55877057698385","126.98764092037636","",""
"1112023040699","서울애니메이션센터 발굴유구 복원공사(장기1차)","202304","2023-04-06~2026-10-09","0","","서울 중구 소파로 126","37.55877057698385","126.98764092037636","",""
"6132023020795","천연동 도시재생복합센터 건립사업 신축공사","202302","2023-02-06~2026-01-28","0","","서울 서대문구 통일로9길 6-24","37.567645091144826","126.96411819648708","","108.3"
"1112019122379","서울영화센터 건립공사","201912","2019-12-23~2025-06-30","0","","서울 중구 마른내로 38","37.56418595101549","126.99211768677367","","139.8"
"7042020020182","세운4구역 도시환경정비사업 건설공사","201901","2019-01-15~2025-11-26","0","","","37.5698292726495","126.996272032037","",""
"7042021020199","세운4구역 도시환경정비사업 전기공사","201901","2019-01-21~2025-11-26","0","","","37.5698292726495","126.996272032037","",""
"7042021020198","세운4구역 도시환경정비사업 정보통신공사","201901","2019-01-21~2025-11-26","0","","","37.5698292726495","126.996272032037","",""
"3502024032192","2024년 중구 관내 상수도공사(장기1차-단가계약)","202403","2024-03-21~2025-06-30","0","","서울특별시 중구 창경궁로 17","37.5638077703663","126.99755518229246","중구",""
"6022024042687","장충-8소구역 하수관로 정비사업(장기계속)","202404","2024-04-26~2025-12-30","0","","서울 중구 동호로 320","37.567267564448855","127.00364475792207","",""
"7182024070899","한양도성 인왕곡성 성벽 붕괴구간 해체?보수공사(장기)","202407","2024-07-08~2026-07-14","0","","서울 서대문구 통일로34길 72-27","37.58081784450321","126.95793334468931","",""
"3502024031498","2024년 석관동 등 10개동 상수도공사(장기1차-단가계약)","202403","2024-03-14~2025-06-30","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024062595","2024년 용산구 관내 상수도공사(장기1차-단가계약)","202406","2024-06-25~2025-06-30","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024051492","2024년 정릉동 등 10개동 상수도공사(장기1차-단가계약)","202405","2024-05-14~2025-06-30","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024062797","2024년 중구,용산구 관내 상수도시설물 설치 및 보수공사(장기1차-단가계약)","202406","2024-06-27~2025-06-30","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024031998","2024년 평창동 등 8개동 상수도 공사(장기1차-단가계약)","202403","2024-03-19~2025-06-30","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024092091","2024년-1 중구 관내 상수도공사(장기계속단가계약-1차)","202409","2024-09-20~2025-08-31","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024071593","2024년-1 창신1동 등 10개동 상수도공사(장기계속-1차)(단가계약)","202407","2024-07-15~2025-06-30","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024050999","성북1배수지(1지) 외 1개소 내부 방식 공사(장기계속계약)","202405","2024-05-09~2025-06-30","0","","서울특별시 중구 장충단로 88","37.5534751235111","127.002946956604","중구",""
"3502024050996","2024년 서부 관내 긴급누수복구공사 (장기1차-단가계약)","202405","2024-05-09~2025-06-30","0","","서울 서대문구 모래내로 303-25","37.582917357726785","126.95251765976148","",""
